file_path,file_name,file_size,sha256,first_50_bytes_hex,detected_type,signature_match
F:\Users\win10secu3\Documents\File\File158,File158,631,164de5ced33b91f414e4837d123d2d77b44a1abc6bd23ccb8183f0e1355d0d9b,EFBBBF3C230A2E53594E4F505349530A09496E7374616C6C732053706F746966790A2E4445534352495054494F4E0A095468,UNKNOWN,
F:\Users\win10secu3\Documents\File\File159,File159,317088,c50e84b679470efe6494352ebef66cda2b5bda1dd30981036ff4faaca28d9544,4D5A8B000300000020000000FFFF070000016540000000004000000001000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File160,File160,4096,d0e714e047c50e9635d0eb408a19a5487f64950d40aa7e3f5fb03fd80550d9ed,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File161,File161,50971,b424fe8fe48d94e754bf63fc1d31eca150177edbd63065873931b833b1d92c8d,504B030414000600080000002100B5CF3E7B02010000BB0200000B0008025F72656C732F2E72656C7320A2040228A0000200,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File162,File162,28514,19cfcbd8a84eafdc7d99627b9a8e6a3b38d2414e124a412cd928ff0c3107467e,504B030414000600080000002100A404CFE97101000098050000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File163,File163,174733,a318143f9603d13e7c8f2afbcb27d8dd4045676773ea4170e60543e39f9d5aef,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F,JPEG,jpg
F:\Users\win10secu3\Documents\File\File164,File164,12440,2d6f7296759859738048cf02b07f381cab62045037950e590f419df824adfc36,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File165,File165,696,1adecb3b5a3882cedce9fd64cddafebdcb045fe7035aac8f02ffe64dc827593c,EFBBBF3C230D0A2E53594E4F505349530D0A2020202020202020496E7374616C6C732043686F636F6C6174657920286E6565,UNKNOWN,
F:\Users\win10secu3\Documents\File\File166,File166,3072,565d4e064b9757bf3e30ff5f229f401c113aa6f073eb823f6d8994be5b189f0b,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File167,File167,1233,147a3761456127bcb8ada2c34728a301d01acd316946aad7d605c3a9ce37e6f2,54686973206973206672656520616E6420756E656E63756D626572656420736F6674776172652072656C656173656420696E,UNKNOWN,
F:\Users\win10secu3\Documents\File\File168,File168,7815,f831e7eed577481687a9bc0b48024e5e40b6f655fcde073ede964b50be5d55d9,20202020202020202020202020202020202020474E55204C45535345522047454E4552414C205055424C4943204C4943454E,UNKNOWN,
F:\Users\win10secu3\Documents\File\File169,File169,781,5ca9c2b5b336be53bfe6310c3ea4a51f85d003898e267d9871803d05b1c1214f,EFBBBF3C230A2E53594E4F505349530A095072696E747320746865205348413531322068617368206F6620612066696C650A,UNKNOWN,
